canon_p_smi,experimental_Tg,normalized_monomer_phi,normalized_backbone_phi
*CCOC(=O)c1ccc(C(=O)O*)cc1,345,0.2889101911347099,0.2889101911347099
*CC(*)(Cl)C(=O)OC(C)CC,347,0.41658676035255027,0.1589527746052713
*CC(*)CC1CCCCC1,348,0.38816228726318625,0.1875
*CC(*)C1CCCC1,348,0.3099214154053203,0.24107142857142858
*CC(*)Cl,348,0.7039449650349652,0.7039449650349652
*CC(*)(C)C(=O)OCC(C)O,349,0.3799276659920682,0.1306122448979592
*CC(*)c1ccc(COC)cc1,350,0.3194418241191576,0.1534090909090909
*Cc1ccc(C*)c(Cl)c1,353,0.2841168217003505,0.2841168217003505
*Cc1ccc(C*)c(Br)c1,353,0.3031574671536695,0.3031574671536695
*CC(*)OC(C)=O,355,0.4463583750169285,0.2721406060606057
*CCOC(=O)c1ccc(O*)cc1,355,0.292235011692877,0.292235011692877
*CC(*)O,358,0.5442812121212114,0.5442812121212114
*Oc1ccc(*)cc1,358,0.1964049552123823,0.1964049552123823
*CC(*)c1ccc(C(C)CC)cc1,359,0.31295357242917304,0.140625
*CC(*)c1ccc(OCC)cc1,359,0.3053944686210171,0.1534090909090909
*CC(*)(C)C(=O)OCCO,359,0.4037679623858941,0.14512471655328799
*CC(*)c1cc(C(C)(C)C)ccc1C,360,0.25041853820726034,0.12980769230769232
*CC(*)c1ccc(C(C)C)cc1,360,0.28440915653825544,0.1534090909090909
*Sc1ccc(*)cc1,360,0.2563818290386934,0.2563818290386934
*CC(*)c1ccc(OC)cc1,362,0.2730083580345599,0.16875
*CC(*)C1CCCCC1,363,0.3510787934749154,0.2109375
*CC(*)c1ccc(OC)cc1C,363,0.2684577887140486,0.1534090909090909
*Cc1ccc(C*)c(C#N)c1,363,0.24649806223067278,0.23078818206616997
*NCc1cccc(CNC(=O)CCCCC(*)=O)c1,363,0.38013417919381665,0.38013417919381665
*CC(*)c1cccc(Cl)c1,363,0.2841168217003505,0.1875
*CC(*)(Cl)C(=O)OC(C)C,363,0.3840605767245195,0.176614194005857
*C(F)(F)c1ccc(C(*)(F)F)cc1,363,0.1905070700684838,0.1905070700684838
*CC(*)(C)C(=O)OCCCl,365,0.44661699872517713,0.14512471655328799
*[Si](*)(C)C1CCCCC1,366,0.2799528285973367,0.11503207249742547
*CC(*)(Cl)C(=O)OCC,366,0.40982351119132454,0.19869096825658913
*OCC1CCC(COC(=O)c2ccc(C(*)=O)cc2)CC1,368,0.2781792049029165,0.2781792049029165
*CC(*)c1cccc(C)c1,370,0.2564313134068555,0.1875
*Cc1cc(C)c(C*)cc1C,373,0.25397136166174983,0.25397136166174983
*CC(*)c1ccccc1,373,0.26030145390103354,0.2109375
*OCC(O)COc1ccc(C(C)(C)c2ccc(*)cc2)cc1,373,0.25168430356877486,0.25168430356877486
*C(F)(F)C(*)(F)Cl,373,0.26006059383360375,0.26006059383360375
*CC(*)c1ccc(C)cc1,374,0.2564313134068555,0.1875
*CC(*)c1cc(F)ccc1F,374,0.24263228982283652,0.16875
*CC(*)c1ccccc1CC,376,0.29094765387968896,0.16875
*CC(*)c1cc(C)cc(C)c1,377,0.25397136166174983,0.16875
*CC(*)(C)C(=O)OC1CCCCC1,377,0.29813245914795955,0.108843537414966
*CC(*)c1ccccn1,377,0.2529130341252313,0.2109375
*CC(*)C#N,378,0.4618400946547888,0.421875
*CC(*)(C)C(=O)OC,378,0.326573602084873,0.18658892128279886
*CC1CC(*)OCO1,378,0.29951088926654545,0.29951088926654545
*CC(*)c1ccccc1F,378,0.2499958122907019,0.1875
*CC(*)c1c(F)c(F)c(F)c(F)c1F,378,0.2294746638664842,0.12980769230769232
*CC(*)c1ccc(F)cc1,379,0.2499958122907019,0.1875
*CC(*)C(=O)O,379,0.3824378320853792,0.3375
*CC(*)(C)C(=O)OC(C)(C)C,380,0.2966104942319201,0.1306122448979592
*CC(*)c1ccc(C)c(C)c1,384,0.25397136166174983,0.16875
*CC(*)c1cc(C)ccc1F,384,0.2482637087291864,0.16875
*OCC(O)COc1cccc(NC(=O)CCCC(=O)Nc2cccc(*)c2)c1,384,0.3143533034650175,0.3143533034650175
*CC(*)c1ccc(C)cc1C,385,0.25397136166174983,0.16875
*CC(*)c1ccc(C(=O)OC)cc1,386,0.2723481804958838,0.140625
*CC(*)c1ccc(Cl)c(C)c1,387,0.278434532746745,0.16875
*CC(*)(Cl)C(=O)OC1CCCCC1,387,0.32057402265545076,0.13246064550439277
*NCc1ccc(CNC(=O)CCCCCCCCC(*)=O)cc1,388,0.4527048907735612,0.4527048907735612
*OC(=O)Oc1ccc(Sc2ccc(*)cc2)cc1,388,0.23964302734728604,0.23964302734728604
*CC(*)c1ccc(Cl)cc1,389,0.2841168217003505,0.1875
*[Si](*)(C)c1ccccc1,390,0.20573362974626483,0.11503207249742547
*C(F)(F)C1(F)C(F)(F)C(*)(F)C(F)(F)C1(F)F,390,0.15136587034662624,0.15136587034662624
*OC(=O)Oc1ccc(C(C)(CC)c2ccc(*)cc2C)c(C)c1,392,0.22619640508153613,0.20236360862619057
*CC(*)c1ccccc1Cl,392,0.2841168217003505,0.1875
*CC(*)(C)C(=O)Oc1ccccc1,393,0.2424272782878981,0.108843537414966
*CC(*)(C)C#N,393,0.2904835754965551,0.2612244897959184
*CC(*)c1cc(Cl)ccc1Cl,393,0.304226122949778,0.16875
*CC(*)(C)c1ccc(C)cc1,394,0.22362088018614928,0.1306122448979592
*CC(*)c1ccc(Cl)c(F)c1,395,0.27240859415029484,0.16875
*OC(=O)Oc1ccc(C(CCC)c2ccc(*)cc2)cc1,396,0.2586204083988896,0.20145625324708688
*OCCOC(=O)c1ccc2cc(C(*)=O)ccc2c1,397,0.22075176476967207,0.22075176476967207
*CC(*)c1cccc(CO)c1,398,0.2873070458427128,0.16875
*Oc1ccc(Oc2ccc(Oc3ccc4c(c3)C(=O)N(CCCCCCN3C(=O)c5ccc(*)cc5C3=O)C4=O)cc2)cc1,401,0.18619651239722645,0.18619651239722645
*CC(*)c1ccc(Cl)c(Cl)c1,401,0.304226122949778,0.16875
*CC(*)c1ccc(C(C)(C)C)cc1,402,0.2512114562275976,0.140625
*NCCCCCCNC(=O)c1cccc(C(*)=O)c1,403,0.38013417919381665,0.38013417919381665
*OC(=O)Oc1ccc(C(C)c2ccc(*)cc2)cc1,403,0.2238402813856521,0.2238402813856521
*CC(*)c1ccc(Cl)cc1Cl,406,0.304226122949778,0.16875
*OC(=O)Oc1ccc(C(C)(CC)c2ccc(*)cc2)cc1,407,0.2249730732984517,0.1985746345328741
*CC(*)c1ccccc1C,409,0.2564313134068555,0.1875
*CC(*)(C)c1ccccc1,409,0.2216331782162101,0.14512471655328799
*OC(=O)Oc1ccc(C(C)(CCC)c2ccc(*)cc2)cc1,410,0.240512280785619,0.18911869955511817
*OC(=O)Oc1ccc(C(C)(C)c2ccc(*)c(C)c2)cc1Cl,411,0.22215845848375446,0.22215845848375446
*Oc1cccc(OC(=O)c2cccc(C(*)=O)c2)c1,411,0.209983321370795,0.209983321370795
*CC(*)c1ccc(-c2ccccc2)cc1,411,0.21708142303163722,0.12053571428571429
*CC(*)c1ccc(CO)cc1,413,0.2873070458427128,0.16875
*OC(=O)Oc1ccc(C(C)(CC)c2ccc(*)cc2Cl)c(Cl)c1,415,0.24678999697834803,0.2220299875463356
*CC(*)c1ccncc1,415,0.2529130341252313,0.2109375
*CC(*)c1cc(C)ccc1C,416,0.25397136166174983,0.16875
*CC(*)c1ccc(Br)cc1,417,0.3031574671536695,0.1875
*CC(*)N1CCCC1=O,418,0.2434075483518771,0.20410545454545426
